Excel_Row,Disease,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Category_7,Category_8,Description
275,myelodysplastic syndromes,"2A3Z Myelodysplastic syndromes, unspecified",Myelodysplastic syndromes,Neoplasms of haematopoietic or lymphoid tissues,02 Neoplasms,,,,,Myelodysplastic syndromes are a group of disorders caused by poorly formed or dysfunctional blood cells.
276,myeloid leukemia,2B33.1 Myeloid leukaemia,2B33 Malignant haematopoietic neoplasms without further specification,Neoplasms of haematopoietic or lymphoid tissues,02 Neoplasms,,,,,Myeloid leukemia is a type of leukemia affecting myeloid cells.
277,myeloid tumors,2A22 Other and unspecified myeloproliferative neoplasms,Myeloproliferative neoplasms,Neoplasms of haematopoietic or lymphoid tissues,02 Neoplasms,,,,,Myeloid tumors are cancers arising from myeloid cells in the bone marrow.
278,myeloma,2A83.1 Plasma cell myeloma,2A83 Plasma cell neoplasms,Mature B-cell neoplasms,Neoplasms of haematopoietic or lymphoid tissues,02 Neoplasms,,,,"Myeloma is a cancer of plasma cells, a type of white blood cell."
279,Myeloproliferative neoplasms,2A22 Other and unspecified myeloproliferative neoplasms,Myeloproliferative neoplasms,Neoplasms of haematopoietic or lymphoid tissues,02 Neoplasms,,,,,Myeloproliferative neoplasms (MPNs) are clonal stem cell disorders characterized by dysregulated megakaryopoiesis and expansion of neoplastic hematopoietic stem cells.
280,Nasopharyngeal carcinoma,"2B6B.1 Malignant epithelial neoplasms of nasopharynx, unspecified type",2B6B Malignant neoplasms of nasopharynx,"Malignant neoplasms of lip, oral cavity or pharynx","Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Nasopharyngeal carcinoma (NPC) is a type of cancer that occurs in the nasopharynx.
281,neoplasia,2F9Z Neoplasms of unknown behaviour of unspecified site,"Neoplasms of unknown behaviour, except of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,,,,"Neoplasia refers to the process of abnormal and uncontrolled cell growth, which can lead to the formation of a neoplasm or tumor."
282,Neoplastic Transformation,2C73.Y Other specified malignant neoplasms of the ovary,2C73 Malignant neoplasms of ovary,Malignant neoplasms of female genital organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Neoplastic transformation is the process by which normal cells acquire properties of cancer cells.
283,neuroblastoma,2D11.2 Neuroblastoma of adrenal gland,2D11 Malignant neoplasms of adrenal gland,Malignant neoplasms of endocrine glands,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Neuroblastoma is a type of cancer that develops from immature nerve cells.
284,Neurofibromatosis type 1,LD2D.10 Neurofibromatosis type 1,LD2D.1 Neurofibromatoses,LD2D Phakomatoses or hamartoneoplastic syndromes,Multiple developmental anomalies or syndromes,20 Developmental anomalies,,,,Neurofibromatosis type 1 is a human genetic disorder.
285,non-small cell lung cancer,2C25.Y Other specified malignant neoplasms of bronchus or lung,2C25 Malignant neoplasms of bronchus or lung,"Malignant neoplasms of middle ear, respiratory or intrathoracic organs","Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Non-small cell lung cancer (NSCLC) is a major type of lung cancer.
286,non-small-cell lung carcinoma,2C25.Y Other specified malignant neoplasms of bronchus or lung,2C25 Malignant neoplasms of bronchus or lung,"Malignant neoplasms of middle ear, respiratory or intrathoracic organs","Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,"Non-small-cell lung carcinoma (NSCLC) is a type of lung cancer that includes adenocarcinoma, squamous cell carcinoma, and large cell carcinoma."
287,Oesophageal adenocarcinoma,"2B70.0Z Adenocarcinoma of oesophagus, unspecified",2B70.0 Adenocarcinoma of oesophagus,2B70 Malignant neoplasms of oesophagus,Malignant neoplasms of digestive organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,Oesophageal adenocarcinoma is a type of cancer that arises from glandular cells in the oesophagus.
288,Oral Squamous Cell Carcinoma,"2B6E.0 Squamous cell carcinoma of other or ill-defined sites in the lip, oral cavity or pharynx","2B6E Malignant neoplasms of other or ill-defined sites in the lip, oral cavity or pharynx","Malignant neoplasms of lip, oral cavity or pharynx","Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Oral Squamous Cell Carcinoma (OSCC) is an aggressive malignancy characterized by frequent local invasion to regional lymph nodes.
289,Osteosarcoma,2B51.Z Osteosarcoma of bone and articular cartilage of unspecified sites,"2B51 Osteosarcoma, primary site",Malignant mesenchymal neoplasms,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Osteosarcoma is a type of bone cancer.
290,ovarian cancer,"2C73.Z Malignant neoplasms of ovary, unspecified",2C73 Malignant neoplasms of ovary,Malignant neoplasms of female genital organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Ovarian cancer is a type of cancer that forms in the ovaries.
291,ovarian immature teratoma,2C73.3 Malignant teratoma of ovary,2C73 Malignant neoplasms of ovary,Malignant neoplasms of female genital organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Ovarian immature teratoma is a type of germ cell tumor of the ovary.
292,ovarian malignancies,"2C73.Z Malignant neoplasms of ovary, unspecified",2C73 Malignant neoplasms of ovary,Malignant neoplasms of female genital organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Ovarian malignancies are cancers originating in the ovaries.
293,Pancreatic adenocarcinoma,2C10.0 Adenocarcinoma of pancreas,2C10 Malignant neoplasm of pancreas,Malignant neoplasms of digestive organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Pancreatic adenocarcinoma (PAAD) is a deadly cancer characterized by abundant stroma.
294,pancreatic cancer,"2C10.Z Malignant neoplasm of pancreas, unspecified",2C10 Malignant neoplasm of pancreas,Malignant neoplasms of digestive organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Pancreatic cancer is a disease in which malignant (cancerous) cells form in the tissues of the pancreas.
295,pancreatic carcinoma,2C10.Y Other specified malignant neoplasms of pancreas,2C10 Malignant neoplasm of pancreas,Malignant neoplasms of digestive organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Pancreatic carcinoma is a malignant tumor originating in the pancreas.
296,pancreatic ductal adenocarcinoma,2C10.0 Adenocarcinoma of pancreas,2C10 Malignant neoplasm of pancreas,Malignant neoplasms of digestive organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Pancreatic ductal adenocarcinoma (PDAC) is a common and aggressive type of pancreatic cancer.
297,pineoblastomas,2A00.20 Tumours of the pineal gland or pineal region,2A00.2 Tumours of neuroepithelial tissue of brain,2A00 Primary neoplasms of brain,Neoplasms of brain or central nervous system,02 Neoplasms,,,,Pineoblastomas are malignant embryonal tumors arising in the pineal gland.
298,pre-B ALL,"2A70.0 B lymphoblastic leukaemia or lymphoma, not elsewhere classified",2A70 Precursor B-lymphoblastic neoplasms,Precursor lymphoid neoplasms,Neoplasms of haematopoietic or lymphoid tissues,02 Neoplasms,,,,pre-B cell acute lymphoblastic leukemia (pre-B ALL) is a type of leukemia that affects B-cell precursors.
299,primary carcinomas,2D41 Unspecified carcinoma of unspecified site,Malignant neoplasms of ill-defined or unspecified primary sites,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,,,Primary carcinomas are malignant tumors originating from epithelial cells in various tissues.
300,Primary effusion lymphoma,2A81.9 Primary effusion lymphoma,2A81 Diffuse large B-cell lymphomas,Mature B-cell neoplasms,Neoplasms of haematopoietic or lymphoid tissues,02 Neoplasms,,,,Primary effusion lymphoma (PEL) is a lymphoma caused by Kaposi's sarcoma-associated herpesvirus (KSHV).
301,prostate cancer,"2C82.Z Malignant neoplasms of prostate, unspecified",2C82 Malignant neoplasms of prostate,Malignant neoplasms of male genital organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Prostate cancer is a cancer that occurs in the prostate gland.
302,prostate carcinoma,2C82.Y Other specified malignant neoplasms of prostate,2C82 Malignant neoplasms of prostate,Malignant neoplasms of male genital organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Prostate carcinoma (PCa) is a malignant tumor of the prostate gland.
303,Rectal cancer,"2B92.Z Malignant neoplasms of rectum, unspecified",2B92 Malignant neoplasms of rectum,Malignant neoplasms of large intestine,Malignant neoplasms of intestine,Malignant neoplasms of digestive organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,Rectal cancer is a type of cancer that forms in the tissues of the rectum.
304,renal cancer,"2C90.Z Malignant neoplasms of kidney, except renal pelvis, unspecified","2C90 Malignant neoplasms of kidney, except renal pelvis",Malignant neoplasms of urinary tract,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Renal cancer is a type of cancer that begins in the kidneys.
305,renal carcinoma,"2C90.Y Other specified malignant neoplasms of kidney, except renal pelvis","2C90 Malignant neoplasms of kidney, except renal pelvis",Malignant neoplasms of urinary tract,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Renal carcinoma (RCC) is a type of kidney cancer that originates in the lining of the proximal convoluted tubule.
306,renal cell carcinoma,"2C90.0 Renal cell carcinoma of kidney, except renal pelvis","2C90 Malignant neoplasms of kidney, except renal pelvis",Malignant neoplasms of urinary tract,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Renal cell carcinoma is a type of kidney cancer that originates in the lining of the proximal convoluted tubule.
307,Retinoblastoma,2D02.2 Retinoblastoma,2D02 Malignant neoplasm of retina,Malignant neoplasms of eye or ocular adnexa,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,"Retinoblastoma (RB, MIM 180200) is a hereditary cancer of the retina, often caused by mutations in the RB1 gene."
308,secondary malignancies,"2E2Z Malignant neoplasm metastasis, unspecified",Malignant neoplasm metastases,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,,,"Secondary malignancies are cancers that develop in patients exposed to genotoxic agents, such as during cancer therapy."
309,skin cancer,2C3Z Malignant neoplasm of skin of unknown or unspecified type,Malignant neoplasms of skin,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,,Skin cancer is a disease characterized by the uncontrolled growth of abnormal skin cells.
310,skin tumor,2F92 Neoplasms of unknown behaviour of skin,"Neoplasms of unknown behaviour, except of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,,,,"Skin tumors induced by 7,12-dimethylbenz[a]anthracene (DMBA) plus 12-O-tetradecanoylphorbol-13-acetate (TPA) in a multistep carcinogenesis model."
311,solid tumors,"2F90.Z Neoplasms of unknown behaviour of oral cavity and digestive organs, unspecified site",2F90 Neoplasms of unknown behaviour of oral cavity or digestive organs,"Neoplasms of unknown behaviour, except of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,,,Solid tumors are abnormal masses of tissue that usually do not contain cysts or liquid areas.
312,squamous cell carcinoma,2C31.Z Cutaneous squamous cell carcinoma,2C31 Squamous cell carcinoma of skin,Malignant neoplasms of skin,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Squamous cell carcinoma is a subtype of non-small cell lung cancer.
313,squamous cell lung cancer,2C25.2 Squamous cell carcinoma of bronchus or lung,2C25 Malignant neoplasms of bronchus or lung,"Malignant neoplasms of middle ear, respiratory or intrathoracic organs","Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Squamous cell lung cancer is a subtype of lung cancer where the association between LINE-1 methylation levels and antitumor therapy effect was more pronounced.
314,stomach cancer,"2B72.Z Malignant neoplasms of stomach, unspecified",2B72 Malignant neoplasms of stomach,Malignant neoplasms of digestive organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Stomach cancer is a malignant neoplasm originating from the stomach.
315,T-cell leukemia,"2A90.5 Adult T-cell lymphoma or leukaemia, human T-cell lymphotropic virus type 1-associated","2A90 Mature T-cell lymphoma, specified types, nodal or systemic",Mature T-cell or NK-cell neoplasms,Neoplasms of haematopoietic or lymphoid tissues,02 Neoplasms,,,,T-cell leukemia is a cancer of the T lymphocytes.
316,teratoma,2F32.0 Cystic teratoma,2F32 Benign neoplasm of ovary,Benign non-mesenchymal neoplasms,"Benign neoplasms, except of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,,Teratoma is a type of tumor that can contain several different types of tissue.
317,testicular germ cell tumors,2C80.2 Germ cell tumour of testis,2C80 Malignant neoplasms of testis,Malignant neoplasms of male genital organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Testicular germ cell tumors are cancers that develop in the testicles.
318,testicular germ cell tumours,2C80.2 Germ cell tumour of testis,2C80 Malignant neoplasms of testis,Malignant neoplasms of male genital organs,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Testicular germ cell tumours (TGCTs) are cancers that develop from germ cells in the testis.
319,thyroid cancer,"2D10.Z Malignant neoplasms of thyroid gland, unspecified",2D10 Malignant neoplasms of thyroid gland,Malignant neoplasms of endocrine glands,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Thyroid cancer is a cancer that starts in the thyroid gland.
320,tonsillar carcinoma,"2B69.Z Malignant neoplasms of tonsil, unspecified",2B69 Malignant neoplasms of tonsil,"Malignant neoplasms of lip, oral cavity or pharynx","Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,Tonsillar carcinoma is a type of cancer that originates in the tonsils.
321,transitional cell carcinoma,"2C9Z Malignant neoplasms of urinary tract, unspecified",Malignant neoplasms of urinary tract,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,,"Transitional cell carcinoma (TCC) is a type of cancer that arises from the transitional epithelium, commonly found in the bladder."
322,tuberous sclerosis,LD2D.2 Tuberous sclerosis,LD2D Phakomatoses or hamartoneoplastic syndromes,Multiple developmental anomalies or syndromes,20 Developmental anomalies,,,,,Tuberous sclerosis is a neurodevelopmental disorder.
323,tumor,2F9Z Neoplasms of unknown behaviour of unspecified site,"Neoplasms of unknown behaviour, except of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,,,,Tumor refers to an abnormal mass of tissue resulting from uncontrolled cell growth.
324,tumor diseases,2D4Z Unspecified malignant neoplasms of unspecified sites,Malignant neoplasms of ill-defined or unspecified primary sites,"Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,,,Tumor diseases refer to various types of cancers or neoplasms.
325,Urothelial carcinoma,2C94.2 Urothelial carcinoma of bladder,2C94 Malignant neoplasms of bladder,Malignant neoplasms of urinary tract,"Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic, central nervous system or related tissues","Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues",02 Neoplasms,,,"Urothelial carcinoma is a type of cancer that originates in the urothelial cells lining the urinary tract, including the bladder."
326,xeroderma pigmentosum,LD27.1 Xeroderma pigmentosum,LD27 Syndromes with skin or mucosal anomalies as a major feature,Multiple developmental anomalies or syndromes,20 Developmental anomalies,,,,,Xeroderma pigmentosum is a DNA repair-deficiency disorder characterized by extreme sensitivity to ultraviolet light and a high risk of skin cancer.
327,pregnancy complications,JA88.1 Infection of amniotic sac or membranes,JA88 Maternal care related to certain specified disorders of amniotic fluid or membranes,"Maternal care related to the fetus, amniotic cavity or possible delivery problems","18 Pregnancy, childbirth or the puerperium",,,,,Pregnancy complications are health problems that occur during pregnancy.
328,Spontaneous abortion,"JA00.09 Spontaneous abortion, complete or unspecified, without complication",JA00.0 Spontaneous abortion,JA00 Abortion,Abortive outcome of pregnancy,"18 Pregnancy, childbirth or the puerperium",,,,Spontaneous abortion refers to the natural loss of a pregnancy before the 20th week of gestation.
329,cognitive impairment,"MB21.Z Symptoms and signs involving cognition, unspecified","MB21 Symptoms, signs or clinical findings involving cognition","Mental or behavioural symptoms, signs or clinical findings","21 Symptoms, signs or clinical findings, not elsewhere classified",,,,,"Cognitive impairment refers to a decline in cognitive function, which can be associated with various neurological conditions."
330,Fibromyalgia,MG30.01 Chronic widespread pain,MG30.0 Chronic primary pain,MG30 Chronic pain,Pain,General symptoms,"General symptoms, signs or clinical findings","21 Symptoms, signs or clinical findings, not elsewhere classified",,"Fibromyalgia is a chronic condition characterized by widespread pain, fatigue, and other symptoms."
